feature,jupiter,hdfc_bank,notes_source
Savings Account,Yes,Yes,"Jupiter: digital-only account issued via Federal Bank (jupiter.money/savings-account). HDFC: direct savings accounts, multiple variants (hdfc.bank.in)."
Fixed Deposit (FD),Yes,Yes,"Jupiter: FDs issued by partner Federal Bank, booked in-app. HDFC: FDs opened/managed directly, digital + branch."
Debit Card,Yes,Yes,"Jupiter: Federal Bank debit card with cashback perks. HDFC: debit card bundled with savings a/c, ATM + insurance benefits."
Credit Card,Partial,Yes,"Jupiter: only a co-branded RuPay Credit Card (lifetime-free, cashback focus). HDFC: full suite of credit cards incl. RuPay UPI Credit Card."
UPI,Yes,Yes,"Jupiter: UPI + RuPay Credit Card UPI linking, 'XtraBoost' feature. HDFC: UPI via NEFT/RTGS/IMPS/UPI stack, RuPay UPI Credit Card."
Personal Loans/Lending,Partial,Yes,"Jupiter: 0% 'Mini Loans' up to INR 50k for salary a/c holders and personal loans up to INR 5L via third-party lending partners, not Jupiter/Federal Bank itself. HDFC: in-house personal, home, and other loans directly."
Investments (MF/Stocks),Partial,Yes,Jupiter: Mutual Funds and Digital Gold (via MMTC-PAMP); no direct stock/demat trading. HDFC: Mutual Fund portfolio access + SmartWealth + Demat/stocks tracking in-app.
Insurance,Partial,Partial,"Jupiter: health insurance launched since 2025 under own IRDAI broker license. HDFC: insurance mainly bundled as debit/credit card benefits, not a core standalone flow."
Forex/International Transactions,Partial,Yes,"Jupiter: 3.5% flat forex fee on international spends/ATM withdrawals; zero markup only for Pro/Salary variants. HDFC: dedicated multi-currency ForexPlus cards (22 currencies, locked FX rates)."
Rewards/Cashback,Yes,Yes,"Jupiter: 1% reward on debit/UPI spends, up to 10% cashback via RuPay credit card on select brands. HDFC: reward points/cashback tied to credit and forex cards."
